ticket_text,team_label
Internet not working after a power outage.,Billing
Random disconnections every few hours.,Network
Internet not working after a power outage.,Support
Unable to reset password on the portal.,Support
Account locked after multiple failed attempts.,Network
Need clarification on a charge.,Network
Cannot access certain websites on Wi-Fi.,Network
Late fee applied despite on-time payment.,Network
Issue with multi-factor authentication.,Support
Email notifications not being received.,Network
Late fee applied despite on-time payment.,Support
Internet not working after a power outage.,Network
Modem frequently restarts on its own.,Support
Unable to reset password on the portal.,Network
Frequent buffering while streaming videos.,Billing
Email notifications not being received.,Network
Need clarification on a charge.,Billing
Portal is loading slowly.,Support
Frequent buffering while streaming videos.,Billing
Support chatbot not responding.,Billing
Unable to reset password on the portal.,Support
Internet keeps disconnecting during video calls.,Network
Email notifications not being received.,Billing
Cannot access certain websites on Wi-Fi.,Network
Cannot access certain websites on Wi-Fi.,Billing
Unable to reset password on the portal.,Network
Modem frequently restarts on its own.,Billing
Internet not working after a power outage.,Network
Frequent buffering while streaming videos.,Support
Cannot access certain websites on Wi-Fi.,Billing
Internet keeps disconnecting during video calls.,Billing
Wi-Fi drops when more than 3 devices are connected.,Support
Refund not yet received.,Support
Modem frequently restarts on its own.,Billing
Payment failed on mobile app.,Network
Refund not yet received.,Billing
Email notifications not being received.,Billing
Internet keeps disconnecting during video calls.,Billing
Internet keeps disconnecting during video calls.,Support
Account locked after multiple failed attempts.,Network
Cannot access certain websites on Wi-Fi.,Network
Getting a 500 error on dashboard.,Billing
Need clarification on a charge.,Billing
Getting a 500 error on dashboard.,Network
Charged twice for the same service.,Support
Frequent buffering while streaming videos.,Support
Late fee applied despite on-time payment.,Support
Email notifications not being received.,Support
Can’t access my usage reports.,Support
Internet keeps disconnecting during video calls.,Billing
Charged twice for the same service.,Billing
Cannot access certain websites on Wi-Fi.,Billing
Random disconnections every few hours.,Support
Internet not working after a power outage.,Support
Support chatbot not responding.,Support
Missing invoice for this month.,Network
Portal is loading slowly.,Network
Missing invoice for this month.,Network
Email notifications not being received.,Billing
Email notifications not being received.,Billing
Frequent buffering while streaming videos.,Support
Can’t access my usage reports.,Billing
Can’t access my usage reports.,Billing
Late fee applied despite on-time payment.,Support
Portal is loading slowly.,Support
Frequent buffering while streaming videos.,Network
Account locked after multiple failed attempts.,Network
Need clarification on a charge.,Billing
Support chatbot not responding.,Support
Getting a 500 error on dashboard.,Billing
Wi-Fi speed is extremely low in the evenings.,Support
Payment failed on mobile app.,Network
Incorrect billing amount on the last invoice.,Billing
Refund not yet received.,Support
Wi-Fi speed is extremely low in the evenings.,Network
Wi-Fi drops when more than 3 devices are connected.,Support
Want to change billing cycle.,Support
Support chatbot not responding.,Network
Incorrect billing amount on the last invoice.,Billing
Can’t access my usage reports.,Network
Payment failed on mobile app.,Billing
Want to change billing cycle.,Support
Getting a 500 error on dashboard.,Billing
Charged twice for the same service.,Network
Need clarification on a charge.,Network
Random disconnections every few hours.,Support
Cannot access certain websites on Wi-Fi.,Support
Issue with multi-factor authentication.,Network
Late fee applied despite on-time payment.,Billing
Account locked after multiple failed attempts.,Network
Wi-Fi speed is extremely low in the evenings.,Support
Unable to reset password on the portal.,Support
Getting a 500 error on dashboard.,Support
Frequent buffering while streaming videos.,Network
Wi-Fi speed is extremely low in the evenings.,Billing
Email notifications not being received.,Network
Modem frequently restarts on its own.,Billing
Email notifications not being received.,Support
Wi-Fi drops when more than 3 devices are connected.,Billing
Support chatbot not responding.,Billing
